,latitude,longitude,mean_tropospheric_NO2_column_number_density,min_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
19107,15.150000000000002,76.65,7.183028409254485e+19,1.8633540826148327e+19,2.0385327128505788e+20
29076,18.65,79.55000000000003,7.50132573645308e+19,4.892845045517373e+19,1.2319119137362511e+20
29359,18.75,79.45,8.238644750173913e+19,3.8953938196290314e+19,1.682352142057877e+20
29360,18.75,79.55000000000003,9.388192575883955e+19,4.231535234111379e+19,1.7428975929977186e+20
29361,18.75,79.65,7.381167838916295e+19,4.01866214890405e+19,1.6246826508136448e+20
29645,18.85,79.65,7.050411090115437e+19,2.428250315065584e+19,1.588473469437635e+20
32766,19.95,79.35000000000002,7.13920915166074e+19,3.061522332844562e+19,1.2774566506033508e+20
35098,20.75,85.35000000000002,7.936445913659805e+19,1.404100794803651e+19,2.4073202253585315e+20
35381,20.85,85.25,1.2823602799943478e+20,2.1657812918933307e+19,2.98773962159836e+20
35382,20.85,85.35000000000002,9.124144421909414e+19,1.0069447522995997e+19,1.579531574622349e+20
35665,20.95,85.25,1.0385383924223826e+20,1.736582383299851e+19,1.5640381444390978e+20
35948,21.05,85.15,8.3721436201919e+19,2.24511398210614e+19,1.232132134424474e+20
35949,21.05,85.25,7.944172320367333e+19,1.4330038727960168e+19,1.6345136276793934e+20
36233,21.15,85.25,7.37030956826799e+19,1.1124656408828254e+19,1.8085937047850248e+20
37356,21.55,83.95,7.070105747270393e+19,1.921683072080101e+19,2.6261513281702855e+20
37640,21.65,83.95,8.540349360730499e+19,2.2662791136606925e+19,3.364744460547086e+20
37925,21.75,84.05000000000003,8.816612964918033e+19,2.455945457807856e+19,2.0530394522870107e+20
37926,21.75,84.15,8.513144315029004e+19,1.6690004885995897e+19,2.5625306834115835e+20
38477,21.95,82.45,7.019969358961057e+19,9.107869571102498e+18,1.1478473620699044e+20
38480,21.95,82.75,7.2923689610506215e+19,2.2404580054163677e+19,2.17399917137989e+20
38485,21.95,83.25,7.118597854222332e+19,2.186324448673153e+19,1.126365649474032e+20
38486,21.95,83.35000000000002,7.644907485652176e+19,2.3090253068689474e+19,1.3249767062493846e+20
38760,22.05,82.35000000000002,8.164130642656223e+19,2.750341120780888e+19,1.328445487035411e+20
38761,22.05,82.45,1.0070621882567488e+20,2.1356571500748296e+19,2.1810875667932188e+20
38763,22.05,82.65,7.33965670140979e+19,3.996724268392198e+19,1.2145815218514289e+20
38764,22.05,82.75,7.896808672128726e+19,2.5962917819325882e+19,1.432168935713079e+20
39044,22.15,82.35000000000002,7.918500046874378e+19,3.0413536726518567e+19,1.3787306448176444e+20
39045,22.15,82.45,9.250109524970326e+19,1.832662945005469e+19,1.837209734344992e+20
39046,22.15,82.55000000000003,7.266343196867689e+19,-4.234169832449813e+18,1.6466626201408065e+20
39332,22.25,82.75,9.816092777702896e+19,2.439028854824257e+19,1.6464772151408e+20
39333,22.25,82.85000000000002,9.54103773857987e+19,1.7488782950263028e+19,1.8363108584515283e+20
39334,22.25,82.95,7.211684157311555e+19,1.7224700895593181e+19,2.3038596224655734e+20
39614,22.35,82.55000000000003,8.250105191638422e+19,1.057099269613016e+19,3.560628535347143e+20
39615,22.35,82.65,1.2039268150569976e+20,3.766353404693704e+19,2.987284443036417e+20
39616,22.35,82.75,2.1352306357332083e+20,2.2693344943589343e+19,4.483863308560588e+20
39617,22.35,82.85000000000002,1.528381454008509e+20,1.7973334246731106e+19,3.5614372393267875e+20
39618,22.35,82.95,7.494548164561404e+19,1.561053326502083e+19,2.0976620172184768e+20
39899,22.45,82.65,8.21692451719069e+19,1.2937608254451724e+19,2.8940621216517597e+20
39900,22.45,82.75,1.2597639957256064e+20,2.2649974610448445e+19,3.204917160798371e+20
39901,22.45,82.85000000000002,1.0994015611223115e+20,1.3815863040149107e+19,3.398501817828589e+20
40185,22.55,82.85000000000002,8.262316978839722e+19,1.392975793458708e+19,3.503638983328084e+20
43313,23.65,83.25,7.190994659403803e+19,1.6896359260793018e+19,1.6523738345602852e+20
43314,23.65,83.35000000000002,7.67678553055257e+19,1.6563798004475056e+19,2.5274282996101408e+20
43591,23.75,82.65,8.319569466838367e+19,2.0105263811891667e+19,1.6645830356697832e+20
43592,23.75,82.75,9.165306714194892e+19,1.902207307914278e+19,1.9746280973981703e+20
43593,23.75,82.85000000000002,9.28894883414441e+19,2.2449372567482696e+19,1.5963308841349228e+20
43594,23.75,82.95,1.0273281895149393e+20,2.752901466540684e+19,2.7324233011863136e+20
43595,23.75,83.05000000000003,9.957878751838913e+19,2.832347271599029e+19,2.573471569445568e+20
43596,23.75,83.15,8.559060413614549e+19,2.301241872874575e+19,1.9125410182856557e+20
43597,23.75,83.25,7.461025448995732e+19,1.6440426221552167e+19,1.779798600862578e+20
43598,23.75,83.35000000000002,7.519219960417311e+19,1.3092601994174323e+19,1.5476569310302057e+20
43875,23.85,82.65,1.1012766056600124e+20,3.356679555506298e+19,2.5236051813129745e+20
43876,23.85,82.75,1.3265591079815332e+20,4.563126229945118e+19,2.9382173909647907e+20
43877,23.85,82.85000000000002,1.2987005011930531e+20,4.87709786265672e+19,2.6749629377619096e+20
43878,23.85,82.95,1.3081728507071336e+20,3.880205800618012e+19,2.497872337878657e+20
43879,23.85,83.05000000000003,1.2613382312806308e+20,3.595474081209797e+19,2.596098195210805e+20
43880,23.85,83.15,9.860547005077207e+19,2.9088550060839313e+19,2.4083905871716752e+20
43881,23.85,83.25,7.569328231961387e+19,2.3026224061232005e+19,1.9635090470687713e+20
43882,23.85,83.35000000000002,7.260278000374083e+19,1.873308125749522e+19,2.4891386615243047e+20
44158,23.95,82.55000000000003,7.1935999476188455e+19,2.661474804021475e+19,1.9529343948632716e+20
44159,23.95,82.65,1.6799752771162794e+20,7.125437361367837e+19,4.2108593796484766e+20
44160,23.95,82.75,2.103882868982044e+20,1.1992172125248084e+20,4.998489253406633e+20
44161,23.95,82.85000000000002,2.5365519985878712e+20,5.628474890020114e+19,3.6835843896431726e+20
44162,23.95,82.95,1.912788639062614e+20,3.1504349420461752e+19,3.68470592152736e+20
44163,23.95,83.05000000000003,1.257702517851316e+20,2.954789806816204e+19,2.5384162708569047e+20
44164,23.95,83.15,1.0009056316846649e+20,2.7156960206838174e+19,2.3455245244254028e+20
44165,23.95,83.25,7.514349290261101e+19,2.353085070557108e+19,1.7997731359855726e+20
44443,24.05,82.65,1.6945052224283702e+20,5.909870197844165e+19,3.864441130080025e+20
