,latitude,longitude,mean_tropospheric_NO2_column_number_density,min_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
32766,19.95,79.35000000000002,7.030612082389518e+19,4.819395723644496e+19,9.163416524292438e+19
37052,21.45,81.95,6.023574988072188e+19,4.124022208910309e+19,6.910757307596357e+19
37336,21.55,81.95,6.046487474537942e+19,4.22444722420311e+19,8.54510420414612e+19
37337,21.55,82.05000000000003,6.977213116795681e+19,4.257422835932666e+19,8.509836094179892e+19
37338,21.55,82.15,6.74121924362342e+19,3.88027818996843e+19,9.1501760044623e+19
37355,21.55,83.85000000000002,6.233499036302798e+19,4.025287557641019e+19,1.0783098960418977e+20
37621,21.65,82.05000000000003,6.157590936081457e+19,3.8019458951906755e+19,8.564819099774594e+19
37622,21.65,82.15,7.17773397837767e+19,3.6485180163184423e+19,9.645945406818234e+19
37623,21.65,82.25,6.831725367319986e+19,3.706530925319462e+19,8.104160664146451e+19
37638,21.65,83.75,6.50124237926428e+19,4.1094083863214416e+19,1.0444621229874332e+20
37639,21.65,83.85000000000002,9.240527358974304e+19,4.018069887136479e+19,1.6365288006167396e+20
37640,21.65,83.95,7.608711047324372e+19,4.267597606579471e+19,1.2742725468336633e+20
37906,21.75,82.15,6.230421599857908e+19,3.570366930382224e+19,8.025709085798313e+19
37907,21.75,82.25,7.117158418536458e+19,3.809592491500106e+19,8.59537361999913e+19
37908,21.75,82.35000000000002,6.208245824844433e+19,3.79495583452056e+19,8.966138080164484e+19
37910,21.75,82.55000000000003,6.184188714814341e+19,1.781038974285163e+19,1.2138691963201475e+20
37923,21.75,83.85000000000002,6.0488415179063845e+19,3.703538241111234e+19,1.3045489338284795e+20
37924,21.75,83.95,7.787282626950362e+19,4.011395490662863e+19,1.589560867027611e+20
37925,21.75,84.05000000000003,6.099754997582494e+19,2.885653932208905e+19,8.710813273228355e+19
38190,21.85,82.15,6.0567622829244105e+19,4.136206996121318e+19,7.732711037695207e+19
38191,21.85,82.25,7.371166370494539e+19,4.539861499182812e+19,1.0482131668978963e+20
38192,21.85,82.35000000000002,7.178406349702544e+19,4.159304494780655e+19,1.0673054530932646e+20
38193,21.85,82.45,6.025678357303279e+19,3.679993623900663e+19,1.0899295334515768e+20
38194,21.85,82.55000000000003,6.187001033498521e+19,2.24032010442421e+19,1.1576194795844814e+20
38195,21.85,82.65,6.422881134316546e+19,1.7046257754574707e+19,1.3516697634306848e+20
38200,21.85,83.15,6.072207089963799e+19,4.585149202406158e+19,9.838720958168336e+19
38474,21.95,82.15,5.984607720770014e+19,4.395243569354327e+19,7.703423399857858e+19
38475,21.95,82.25,7.689713310436268e+19,4.553598576183376e+19,1.1449095299593291e+20
38476,21.95,82.35000000000002,6.652063310925107e+19,3.385513360488842e+19,1.0743796243780388e+20
38477,21.95,82.45,7.218651381982112e+19,5.09791572234208e+19,1.2387857275576272e+20
38478,21.95,82.55000000000003,6.257230508584669e+19,2.7736311226257867e+19,1.1054652307127909e+20
38479,21.95,82.65,7.299834750575958e+19,2.4965091787716895e+19,1.3212514426763808e+20
38484,21.95,83.15,5.967280527483426e+19,3.154888509936995e+19,8.97490105186841e+19
38485,21.95,83.25,5.837488454734429e+19,3.223087112146837e+19,9.460823677239614e+19
38758,22.05,82.15,5.79151508158483e+19,4.274286246062766e+19,8.990626519356098e+19
38759,22.05,82.25,1.10483663823659e+20,4.158137998857498e+19,2.1817982309081848e+20
38760,22.05,82.35000000000002,6.579010423870152e+19,3.759074174008115e+19,1.0334287536849768e+20
38762,22.05,82.55000000000003,7.243927752377724e+19,5.005800804774564e+19,1.062236505159953e+20
38763,22.05,82.65,9.611010392636255e+19,6.180656901897418e+19,1.5355591432008047e+20
38764,22.05,82.75,6.092783098754033e+19,2.2884754747933757e+19,8.811539695985313e+19
39043,22.15,82.25,5.954247431649911e+19,3.206237646476185e+19,1.2061472670231408e+20
39044,22.15,82.35000000000002,6.173480320357668e+19,3.72088573544814e+19,1.212396348468762e+20
39046,22.15,82.55000000000003,7.958819664874914e+19,5.089983442283612e+19,9.953285785914135e+19
39047,22.15,82.65,1.0488736147650132e+20,5.611918713021008e+19,1.5069274836966274e+20
39048,22.15,82.75,6.629987494367046e+19,3.5221144929821524e+19,1.0363609623998864e+20
39330,22.25,82.55000000000003,8.908542521549213e+19,5.930951517885633e+19,1.3230864247553873e+20
39331,22.25,82.65,1.1113955865371324e+20,5.747483478138837e+19,1.6765091162626268e+20
39332,22.25,82.75,6.616205465497685e+19,3.1929478250463e+19,1.0386045231024572e+20
39614,22.35,82.55000000000003,6.067541210949349e+19,4.043816816692576e+19,1.1863890527731715e+20
39615,22.35,82.65,1.1708636428550196e+20,4.226204550340422e+19,2.38594436071847e+20
39616,22.35,82.75,7.74610433843471e+19,3.0086166531980026e+19,1.995352353943189e+20
39899,22.45,82.65,7.210219900597056e+19,2.048523662916841e+19,1.87320230189535e+20
39900,22.45,82.75,6.01782632537366e+19,2.14455090544565e+19,1.4156041404791112e+20
43588,23.75,82.35000000000002,7.408207758191084e+19,2.1282425793883173e+19,1.409324394679104e+20
43589,23.75,82.45,6.815704741270937e+19,3.136144495731828e+19,1.0142032744138224e+20
43590,23.75,82.55000000000003,5.964503430366239e+19,3.681507027347128e+19,7.839315960498353e+19
43871,23.85,82.25,8.968396262194115e+19,2.3514692770065424e+19,1.588016019494811e+20
43872,23.85,82.35000000000002,1.1283166906539749e+20,3.3004956041285333e+19,1.7525150362927114e+20
43873,23.85,82.45,1.3372508242416186e+20,4.843153255810384e+19,3.030272476645793e+20
43874,23.85,82.55000000000003,1.3654631672868194e+20,7.895422471890988e+19,2.3606213634949195e+20
43875,23.85,82.65,9.772884521211604e+19,3.63257183602816e+19,1.6842261891198845e+20
43876,23.85,82.75,6.392625214902598e+19,1.0679562709773543e+19,1.87236141093906e+20
44155,23.95,82.25,7.516871639159475e+19,1.986723272994477e+19,1.504915944285498e+20
44156,23.95,82.35000000000002,8.836055910071691e+19,2.6132296578657456e+19,1.2138265363573136e+20
44157,23.95,82.45,1.3088582853628666e+20,4.366319682098669e+19,2.4987098504804454e+20
44158,23.95,82.55000000000003,2.0112006538969835e+20,1.283484935312214e+20,2.99464809602068e+20
44159,23.95,82.65,1.7300687460051773e+20,1.1576941235275062e+20,2.5663382460601077e+20
44160,23.95,82.75,1.098524296727222e+20,4.05609139997592e+19,2.7693284037560084e+20
44439,24.05,82.25,5.989753868904725e+19,1.6588082012878486e+19,1.4045588111803566e+20
44440,24.05,82.35000000000002,6.657445239339003e+19,2.3225264809633804e+19,9.425306425029408e+19
44441,24.05,82.45,9.023302744261796e+19,3.866084695715739e+19,1.5839546459451956e+20
44442,24.05,82.55000000000003,1.4578112391968635e+20,1.0366916822669654e+20,2.4904827536558712e+20
