,latitude,longitude,mean_tropospheric_NO2_column_number_density,min_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
9194,11.650000000000002,79.35000000000002,1.0001302670465386e+20,1.7814646559588723e+19,1.8077367250227688e+20
19107,15.150000000000002,76.65,9.889160501010122e+19,6.344749041842933e+19,1.836194182692816e+20
33049,20.05,79.25,1.0166791782390446e+20,5.976286538896811e+19,1.487334845876336e+20
35098,20.75,85.35000000000002,9.002279348351037e+19,1.846536427145341e+19,2.7073866747606775e+20
35381,20.85,85.25,1.3211355768703042e+20,3.8704682246568395e+19,4.090411086865058e+20
35382,20.85,85.35000000000002,1.1422190606502538e+20,2.189032606525439e+19,3.3467188436069515e+20
35664,20.95,85.15,1.071357076460624e+20,3.805302223571342e+19,2.2617200736920784e+20
35665,20.95,85.25,1.0835494579815227e+20,4.641752947769079e+19,2.2518367130497607e+20
35947,21.05,85.05000000000003,8.864691628593123e+19,4.140581755073562e+19,1.705661071627811e+20
35948,21.05,85.15,1.714166115477981e+20,7.392607679587842e+19,4.4816651657629657e+20
35949,21.05,85.25,9.163297031015322e+19,4.447613372582632e+19,1.7989498951355223e+20
36231,21.15,85.05000000000003,9.467174445067626e+19,2.949303572268512e+19,1.4137386872941648e+20
36232,21.15,85.15,9.074554770961318e+19,2.834319593697815e+19,1.4828200017034176e+20
36480,21.25,81.55000000000003,8.206379060745501e+19,7.273907932718239e+19,9.001761124762139e+19
36481,21.25,81.65,8.604146546224356e+19,4.933164203988445e+19,1.3604745746855336e+20
36765,21.35,81.65,9.272810555358246e+19,7.038228070720393e+19,1.2321550047084233e+20
36766,21.35,81.75,1.016772719819868e+20,5.242050981046669e+19,1.4844017258810884e+20
37051,21.45,81.85000000000002,1.0719928187589834e+20,5.931198933926123e+19,1.4359419614989043e+20
37052,21.45,81.95,9.79386051158024e+19,4.833167682285033e+19,1.7594879790375764e+20
37336,21.55,81.95,1.0683876320364742e+20,6.42578793823247e+19,1.4491680018001307e+20
37337,21.55,82.05000000000003,1.119600351992504e+20,7.974312124013978e+19,1.64980170246447e+20
37621,21.65,82.05000000000003,8.79956179412472e+19,7.090260992730012e+19,1.2824352004876624e+20
37622,21.65,82.15,8.003101391298265e+19,6.76802124908247e+19,9.061734393715276e+19
37640,21.65,83.95,7.958575923436936e+19,4.14534283751336e+19,1.611879454122949e+20
37641,21.65,84.05000000000003,8.438585132217537e+19,4.406403159034508e+19,1.286357306041312e+20
37925,21.75,84.05000000000003,1.1966225277782824e+20,4.184042428965417e+19,1.7671877709590715e+20
37926,21.75,84.15,1.1443272821674331e+20,3.954028849832581e+19,2.1320702619671577e+20
38476,21.95,82.35000000000002,9.215933678932176e+19,4.5534144504487715e+19,1.5491523242807997e+20
38477,21.95,82.45,1.0912799521327692e+20,7.563605890409996e+19,1.3056582538306896e+20
38760,22.05,82.35000000000002,9.114830144704773e+19,2.906728113257702e+19,1.5704861502996165e+20
38763,22.05,82.65,9.025888779828335e+19,3.502043218597257e+19,1.5881370810049256e+20
39044,22.15,82.35000000000002,9.371994426716342e+19,5.744764319673027e+19,1.403906685045806e+20
39048,22.15,82.75,8.721335296088015e+19,5.611023424674823e+19,1.596671964145859e+20
39332,22.25,82.75,1.3301299551581338e+20,6.17651045474067e+19,2.5500550090410112e+20
39333,22.25,82.85000000000002,8.457989171651251e+19,4.835964267423127e+19,1.2447841765707809e+20
39616,22.35,82.75,1.575489668175125e+20,5.526839933206813e+19,2.8812319161908396e+20
39617,22.35,82.85000000000002,8.969932351058703e+19,4.624882441329185e+19,1.3628659424722244e+20
39900,22.45,82.75,7.874069939989709e+19,2.2734246580461027e+19,2.0064556781980638e+20
42785,23.45,87.25,8.978126885654204e+19,2.8919150224450093e+19,1.509628916920788e+20
42786,23.45,87.35000000000002,9.643741201049911e+19,3.2107533112524923e+19,1.5096288969902778e+20
42787,23.45,87.45,9.281588445626324e+19,3.5045024064795558e+19,1.5520616361414463e+20
43102,23.55,90.55,8.718926243962098e+19,2.853886969029557e+19,1.3586879983798292e+20
43386,23.65,90.55,1.3091164924501762e+20,5.737553138060657e+19,2.009642167180352e+20
43387,23.65,90.65,1.215515177612516e+20,4.891033037996469e+19,1.7596989463078476e+20
43388,23.65,90.75,8.579268524437597e+19,3.993307386180923e+19,1.39949694756577e+20
43411,23.65,93.05,8.858685235817347e+19,1.1210442134914073e+19,3.742308815022626e+20
43669,23.75,90.45,1.0659995560289826e+20,5.755570836979009e+19,1.6770868828175794e+20
43670,23.75,90.55,1.3494702557099668e+20,6.055985303151437e+19,2.65163500677684e+20
43671,23.75,90.65,1.2365647445998576e+20,4.1347491766255755e+19,2.3548536914204964e+20
43672,23.75,90.75,8.767410650254583e+19,4.834357461422713e+19,1.238961052321569e+20
43689,23.75,92.45,9.091121302720995e+19,7.561187988336216e+18,4.6027196501476416e+20
43695,23.75,93.05,1.0932197988270907e+20,7.182999261755515e+18,4.396002762710239e+20
43879,23.85,83.05000000000003,9.206197732006594e+19,1.1882589178647249e+19,3.3753246437064114e+20
43880,23.85,83.15,8.635103350679867e+19,1.2987340914193486e+19,2.8586833061048107e+20
43952,23.85,90.35,9.06515208380462e+19,5.03292319313736e+19,1.8549288992581376e+20
43953,23.85,90.45,1.1648098624471464e+20,7.09094661095116e+19,2.558957055700822e+20
43954,23.85,90.55,1.3351822561086395e+20,4.77859107037151e+19,3.0042468763406965e+20
43955,23.85,90.65,1.13194624365564e+20,5.438078706666224e+19,1.9955038194893783e+20
44162,23.95,82.95,1.177857958931532e+20,9.149858370958402e+18,3.6450286734079774e+20
44163,23.95,83.05000000000003,1.389221544792424e+20,1.1589742379546618e+19,4.4567567606459983e+20
44164,23.95,83.15,9.782481070840686e+19,1.3403481616726934e+19,2.500108294100246e+20
44165,23.95,83.25,8.076547446554693e+19,1.370587870266468e+19,1.8354402126323057e+20
44235,23.95,90.25,8.367485503636829e+19,3.211921483817381e+19,2.1962572359718276e+20
44236,23.95,90.35,1.1465838474133135e+20,6.934503552532669e+19,2.437129632148324e+20
44237,23.95,90.45,1.3823020462114333e+20,4.676642245598634e+19,3.0148315630744666e+20
44238,23.95,90.55,1.1187568679940278e+20,2.9786090559907422e+19,2.0743460365037712e+20
44239,23.95,90.65,8.355668378025298e+19,2.6753279721113887e+19,1.3386440651129953e+20
44444,24.05,82.75,1.4967719820215678e+20,2.51527307804748e+19,2.541615576865962e+20
44445,24.05,82.85000000000002,1.4434745856881608e+20,9.916368060335843e+18,2.9439215011429407e+20
44446,24.05,82.95,9.835230691923504e+19,8.123129320914741e+18,2.1482981169912617e+20
44519,24.05,90.25,9.355470324989985e+19,3.749002543829559e+19,2.315856697006227e+20
44520,24.05,90.35,1.2870643898465763e+20,4.894426520220729e+19,2.806881050569116e+20
44521,24.05,90.45,1.4176066710849022e+20,5.972226264936394e+19,3.06807810563599e+20
44522,24.05,90.55,9.564906020575258e+19,2.868655762348215e+19,1.8935014119127443e+20
44727,24.15,82.65,1.0273786779749184e+20,3.002086512517356e+19,2.984515118151144e+20
44728,24.15,82.75,1.235289379001767e+20,1.626762060565478e+19,3.3258981993616376e+20
44729,24.15,82.85000000000002,1.0085294566080812e+20,1.0517117486155096e+19,1.6858383600327108e+20
44804,24.15,90.35,1.093296458383452e+20,2.442668178931713e+19,2.992962164999868e+20
44805,24.15,90.45,1.2518055035097034e+20,4.504212558709414e+19,3.3122699474904986e+20
45089,24.25,90.45,1.2008104652823591e+20,5.592987671464138e+19,2.967299419687352e+20
45373,24.35,90.45,9.03058735694878e+19,3.179589342368177e+19,2.2390258063667832e+20
56887,28.45,77.45,8.038137824208026e+19,1.8540213464068e+19,2.499679040394342e+20
57170,28.55,77.35,8.561641409723834e+19,3.523155534642208e+19,1.9799377888863997e+20
