,latitude,longitude,mean_tropospheric_NO2_column_number_density,min_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
29861,18.95,72.85,9.063435795980268e+19,4.83245002795851e+19,1.3519953708262816e+20
29862,18.95,72.95,9.258244403551704e+19,6.982215750489172e+19,1.3072937315320866e+20
30145,19.05,72.85,1.0110509502006354e+20,5.814053027757889e+19,1.3943776040399972e+20
30146,19.05,72.95,1.212182998166778e+20,7.331579310967064e+19,2.2096815698018812e+20
30147,19.05,73.05000000000003,9.161695355407132e+19,6.180785803258978e+19,1.3293211688894156e+20
30430,19.15,72.95,9.455195746829173e+19,5.94449147302165e+19,1.5129883265301607e+20
35098,20.75,85.35000000000002,9.450008986398204e+19,1.761671891869973e+19,3.261977559946207e+20
35099,20.75,85.45,9.106697893583112e+19,1.5350682943806157e+19,2.6777083326529736e+20
35381,20.85,85.25,1.1415493834738452e+20,4.403372234657959e+19,2.8335933351709744e+20
35382,20.85,85.35000000000002,9.715103038450347e+19,1.8812954003728646e+19,2.907510492992093e+20
35664,20.95,85.15,9.765863272541946e+19,4.148765019170789e+19,1.5930898548621754e+20
35665,20.95,85.25,1.0534389978298004e+20,3.253403484279895e+19,2.377757905692244e+20
35947,21.05,85.05000000000003,9.205219965799549e+19,1.708662721831101e+19,1.6941083033490797e+20
35948,21.05,85.15,9.306559604273427e+19,2.887399634957545e+19,1.7132335609407124e+20
37337,21.55,82.05000000000003,8.779438286885544e+19,1.932763049591242e+19,2.0840163015594e+20
38193,21.85,82.45,1.0230315279405208e+20,1.157317089144137e+19,2.7135279686162743e+20
38477,21.95,82.45,1.1575529128595187e+20,1.6450933780012669e+19,2.3861480749013638e+20
38760,22.05,82.35000000000002,9.23225107858194e+19,2.5945017895162274e+19,2.1045573736609353e+20
39049,22.15,82.85000000000002,9.5335304740522e+19,1.775299164558476e+19,2.813144799564032e+20
39202,22.25,69.75,9.90431374889971e+19,1.7424323354614436e+19,2.080095503698218e+20
39332,22.25,82.75,9.79056131662892e+19,2.573991646450581e+19,2.4104682375274008e+20
39616,22.35,82.75,1.0757056682319417e+20,3.5302638284875014e+19,2.2007145396163124e+20
40240,22.55,88.35000000000002,9.239010466102098e+19,6.404049110851652e+19,1.6226389035327314e+20
40241,22.55,88.45,9.5646988848412e+19,4.0334938017606525e+19,2.3525790576331165e+20
40335,22.65,69.45,1.050032901256417e+20,5.699122942408059e+18,2.1321783903755223e+20
40620,22.75,69.55000000000001,9.17428392616506e+19,2.212169851489582e+19,1.8848608464042223e+20
42501,23.35,87.25,9.15545237421644e+19,1.1877652530073747e+19,2.2384604421186293e+20
42502,23.35,87.35000000000002,9.695366270687851e+19,1.873069075680762e+19,2.5126099168442047e+20
42534,23.35,90.55,9.463412824724736e+19,1.5859268924730147e+19,3.039169705017754e+20
42784,23.45,87.15,1.2842823009959394e+20,2.246821721996493e+19,2.09143413074422e+20
42785,23.45,87.25,1.279937022300637e+20,2.0502636466671227e+19,2.8700462129994256e+20
42786,23.45,87.35000000000002,1.1815021086552075e+20,1.579242320502319e+19,2.848453557786053e+20
42787,23.45,87.45,9.06539240681535e+19,1.5758483122933551e+19,2.0462705473299887e+20
42817,23.45,90.45,9.8076342582695e+19,1.912278692346123e+19,1.737168479142351e+20
42818,23.45,90.55,1.2652992404074602e+20,1.7324970697000423e+19,3.4293633479578826e+20
42819,23.45,90.65,9.704266145398832e+19,1.7102116377102733e+19,3.100509946023326e+20
43068,23.55,87.15,9.453384991601145e+19,3.3872246597154464e+19,2.136748127841968e+20
43069,23.55,87.25,1.3325601343021616e+20,3.343564806146983e+19,2.786003781218077e+20
43070,23.55,87.35000000000002,1.1340812645196431e+20,2.630492616070221e+19,3.0369457967602906e+20
43101,23.55,90.45,1.7405741442662272e+20,2.050471054127863e+19,3.790664770434887e+20
