,latitude,longitude,mean_tropospheric_NO2_column_number_density,min_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
29359,18.75,79.45,1.6872580586878147e+20,1.30827120068245e+20,2.1652415567675687e+20
29643,18.85,79.45,1.9425535764565672e+20,5.767267193520668e+19,3.509983541759365e+20
29861,18.95,72.85,1.7645615449855607e+20,1.0136334124911236e+20,2.6120388484160304e+20
29862,18.95,72.95,1.764633057067633e+20,7.654547850972751e+19,2.7825494161527774e+20
30145,19.05,72.85,2.0086320454069e+20,8.268438200645247e+19,2.948191963826035e+20
30146,19.05,72.95,1.5135013207739443e+20,7.240211246487333e+19,1.956618330452924e+20
33049,20.05,79.25,1.66861320727694e+20,5.495694580004201e+19,2.832455648861753e+20
35380,20.85,85.15,1.805054374285701e+20,1.1571659737664696e+20,2.1471875794106843e+20
35381,20.85,85.25,2.273162305294089e+20,4.984944394920928e+19,4.3364792595381486e+20
35664,20.95,85.15,2.2653835455391593e+20,8.042357422943912e+19,3.1844298855758954e+20
36194,21.15,81.35000000000002,1.6199632504894076e+20,1.035283538238302e+20,2.1289714590316672e+20
36478,21.25,81.35000000000002,1.855503474478105e+20,1.451020507266212e+20,2.582846256522717e+20
36479,21.25,81.45,1.5872805427106326e+20,1.1130174811982948e+20,1.841184446765422e+20
36764,21.35,81.55000000000003,1.8193413683003536e+20,1.2201784554361484e+20,2.1825613669043084e+20
36765,21.35,81.65,1.662528742103368e+20,1.1355108182543378e+20,2.134529620830388e+20
37621,21.65,82.05000000000003,1.6624417079504798e+20,9.918512353381294e+19,1.957863257306934e+20
37640,21.65,83.95,1.6143032532080666e+20,8.217370558519629e+19,2.5712692815989503e+20
37641,21.65,84.05000000000003,1.8689208387849817e+20,4.0499230121565e+19,3.388873796733257e+20
37924,21.75,83.95,1.61337177655569e+20,1.0735232428406007e+20,2.0874542870713745e+20
37925,21.75,84.05000000000003,2.9049628044571997e+20,7.115434077841364e+19,3.818421793763912e+20
38200,21.85,83.15,1.7252324389178022e+20,5.9083876058536305e+19,2.540316318877732e+20
38209,21.85,84.05000000000003,1.673474372709589e+20,3.6109480172742476e+19,2.7233105345150937e+20
38476,21.95,82.35000000000002,1.52829380104081e+20,8.459386439731967e+19,2.3206595242966208e+20
38484,21.95,83.15,1.8614564754830708e+20,1.1546143571196212e+20,3.748881609747442e+20
38485,21.95,83.25,1.8020833646058268e+20,1.0805309459713496e+20,2.906327682869398e+20
38760,22.05,82.35000000000002,1.569035140635178e+20,1.1435494289030424e+20,2.000526018600956e+20
38762,22.05,82.55000000000003,1.5658002467371634e+20,6.210125459022586e+19,2.547496791089217e+20
38763,22.05,82.65,1.9550466609321332e+20,8.020203040492293e+19,3.075841146218782e+20
39044,22.15,82.35000000000002,1.5473168534571667e+20,8.723347812612042e+19,2.4243609284547527e+20
39047,22.15,82.65,1.6922033222911348e+20,8.129764475161903e+19,2.2648451105026753e+20
39048,22.15,82.75,1.77172256463385e+20,5.265758252697941e+19,2.550008444541344e+20
39331,22.25,82.65,1.6205345689994294e+20,6.892240105762656e+19,2.4861974966748745e+20
39332,22.25,82.75,2.4311124976763008e+20,1.0625227621444669e+20,3.644390463380381e+20
39615,22.35,82.65,2.040451939409003e+20,1.6558050607505228e+20,2.664750048752232e+20
39616,22.35,82.75,3.0913449444783555e+20,2.2163880147944473e+20,3.991967208920355e+20
39617,22.35,82.85000000000002,1.6130062036953484e+20,7.971524219599933e+19,2.3218791218451825e+20
39899,22.45,82.65,1.553791823485251e+20,4.6737718665634595e+19,2.9795325100953194e+20
39900,22.45,82.75,2.173779864617601e+20,8.278477918263558e+19,3.4085783122293496e+20
40787,22.75,86.25,1.7207320375645084e+20,1.0467305785032948e+20,3.1683564984716847e+20
