,latitude,longitude,mean_tropospheric_NO2_column_number_density,min_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
29643,18.85,79.45,1.1748287000033313e+20,7.329109491295825e+19,1.886207518792442e+20
35097,20.75,85.25,2.356855104699715e+20,2.888278979096808e+19,3.8393972894856013e+20
35098,20.75,85.35000000000002,2.3707920257748353e+20,1.6945756963238887e+19,4.5634732796766736e+20
35380,20.85,85.15,1.973035241955449e+20,9.900620448698062e+19,3.959818308725304e+20
35381,20.85,85.25,3.359940151403449e+20,7.04558226111353e+19,4.8081660020359286e+20
35382,20.85,85.35000000000002,2.365549194203017e+20,1.9059234537446973e+19,3.936697647975348e+20
35663,20.95,85.05000000000003,1.26781182605278e+20,5.726545339999533e+19,2.3418851550595718e+20
35664,20.95,85.15,2.105664717846922e+20,1.0219224725333564e+20,3.8481713969000474e+20
35665,20.95,85.25,2.377839976240498e+20,4.67201208777904e+19,3.577034134241826e+20
35666,20.95,85.35000000000002,1.505562748095139e+20,1.5401418608210866e+19,3.570844505743766e+20
35947,21.05,85.05000000000003,1.6884661445545984e+20,1.104425838064868e+20,2.7429257846706985e+20
35948,21.05,85.15,1.9006769483786925e+20,6.359858275090396e+19,2.748799850542357e+20
35949,21.05,85.25,1.5589153360125428e+20,2.0202706397146632e+19,3.649288713839343e+20
36194,21.15,81.35000000000002,1.284900780803093e+20,2.739457406464822e+19,2.0574381223061592e+20
36230,21.15,84.95,1.1497084280453997e+20,3.896746159559061e+19,2.6079932815486727e+20
36231,21.15,85.05000000000003,1.567599458514318e+20,5.66173658865816e+19,3.1550848096533794e+20
37070,21.45,83.75,1.1488859052224265e+20,1.1055571989374022e+19,2.4003336338319983e+20
37641,21.65,84.05000000000003,1.3275070070298929e+20,1.7691680209460689e+19,2.082434944657993e+20
37925,21.75,84.05000000000003,1.844918996532956e+20,4.974694406475955e+19,3.148996127455234e+20
37926,21.75,84.15,1.6831974026929812e+20,1.668553141950674e+19,2.9048887850680412e+20
38201,21.85,83.25,1.1992691435015098e+20,2.5411517237352997e+19,1.6426929162782573e+20
38209,21.85,84.05000000000003,1.509602301742864e+20,5.996986408093649e+19,3.5839157111180263e+20
38210,21.85,84.15,1.1839775834056548e+20,2.0907412618850787e+19,3.138329987420514e+20
38476,21.95,82.35000000000002,1.362908449767922e+20,2.812997912795888e+19,2.2601623848164147e+20
38760,22.05,82.35000000000002,1.5882839854620977e+20,8.460154472051822e+19,2.716275523979844e+20
38764,22.05,82.75,1.185736216684161e+20,1.6569341771775668e+19,1.8579095707023888e+20
38765,22.05,82.85000000000002,1.1462087674733586e+20,2.0185174528583533e+19,1.9025085358441415e+20
39044,22.15,82.35000000000002,1.1402975749547155e+20,3.844935755715309e+19,2.356881115256088e+20
39048,22.15,82.75,1.1468125232803807e+20,1.978590084970465e+19,1.784392795009233e+20
39899,22.45,82.65,1.1992718893820237e+20,1.693700042518537e+19,3.56563577219174e+20
40183,22.55,82.65,1.1855087396393748e+20,1.350416910298528e+19,3.797765027864552e+20
42218,23.25,87.35000000000002,1.2043715802140724e+20,1.8120971086225453e+19,1.8926712375805775e+20
42501,23.35,87.25,1.2906235587464926e+20,1.865430231740837e+19,2.176015709765043e+20
42502,23.35,87.35000000000002,1.5349183232968737e+20,1.655698071301269e+19,2.8863524619268656e+20
42784,23.45,87.15,1.3303350319031732e+20,5.422497968684577e+19,2.1895755008197948e+20
42785,23.45,87.25,1.497963924006441e+20,2.4035432966378693e+19,2.3376544745579436e+20
42786,23.45,87.35000000000002,1.4706910539795767e+20,2.099553248023741e+19,2.7859461313416072e+20
42787,23.45,87.45,1.2454062483412276e+20,2.041228130561873e+19,2.3479911291714788e+20
42819,23.45,90.65,1.1595732967418189e+20,4.024215716420869e+19,2.944784454597808e+20
43069,23.55,87.25,1.277845125134601e+20,8.251023460731933e+19,1.6509170286332088e+20
43070,23.55,87.35000000000002,1.2363675273712851e+20,4.65381407948114e+19,1.8683835214616904e+20
43102,23.55,90.55,1.5007081127267077e+20,7.597330877364584e+19,3.2172727761622847e+20
