latitude,longitude,CO_column_number_density
8.45,68.75,0.03340619288122241
8.45,68.85,0.033930358212104564
8.45,68.95,0.03487240267796477
8.45,69.05000000000001,0.036612674308906086
8.45,69.15,0.03685177487414875
8.45,69.25,0.03840016689994032
8.45,69.35,0.03561135996826054
8.45,69.45,0.03459567039228371
8.45,69.55000000000001,0.03566266103402789
8.45,69.65,0.03636700115082262
8.45,69.75,0.03775639049934531
8.45,69.85,0.03798743124276476
8.45,69.95,0.03695926009356938
8.45,70.05000000000001,0.036951216828088156
8.45,70.15,0.037851255405833555
8.45,70.25,0.036669479832883684
8.45,70.35,0.03594692008798022
8.45,70.45,0.03631786339947387
8.45,70.55000000000001,0.03865145513887018
8.45,70.65,
8.45,70.75,
8.45,70.85,
8.45,70.95,0.038630234292486035
8.45,71.05000000000001,0.03863023735571057
8.45,71.15,0.038432746334108085
8.45,71.25,0.03659606780912464
8.45,71.35,0.0365466646814569
8.45,71.45,0.040460578223908424
8.45,71.55000000000001,0.040379322712320954
8.45,71.65,0.03846301773709309
8.45,71.75,0.038498972560302575
8.45,71.85,0.03652044202542852
8.45,71.95,0.03653414387615484
8.45,72.05000000000001,0.03816219741371148
8.45,72.15,0.04342807579234697
8.45,72.25,0.03819742765100821
8.45,72.35,0.03428228009712066
8.45,72.45,0.03816710157641431
8.45,72.55000000000001,0.033425970313808305
8.45,72.65,0.03859961602527424
8.45,72.75,0.03865095493468856
8.45,72.85,0.0378994501293132
8.45,72.95,0.039145352121549126
8.45,73.05000000000001,0.040506107729977606
8.45,73.15,0.04136442506220388
8.45,73.25,0.04047321152182455
8.45,73.35,0.039060130062083316
8.45,73.45,0.03650853866785248
8.45,73.55000000000001,0.03678638441631987
8.45,73.65,0.03558840472579897
8.45,73.75,0.036127723504706624
8.45,73.85,0.03492673234091314
8.45,73.95,0.03837742991574842
8.45,74.05000000000001,0.03487246550066309
8.45,74.15,0.03883635347018314
8.45,74.25,0.03993303728782545
8.45,74.35,0.039044824703499674
8.45,74.45,0.03845750662456055
8.45,74.55000000000001,0.039181159465276935
8.45,74.65,0.03885070679243434
8.45,74.75,0.03815382636830028
8.45,74.85,0.03875719256953093
8.45,74.95,0.03725464903680985
8.45,75.05000000000001,0.03999817027013214
8.45,75.15,0.03941204542717367
8.45,75.25,0.03609573388277679
8.45,75.35,0.04169402027110947
8.45,75.45,0.03721188318940657
8.45,75.55000000000001,0.03863956586323253
8.45,75.65,0.03573190469435887
8.45,75.75,0.03477446412317322
8.45,75.85,0.03820738073147576
8.45,75.95,0.037344615934905595
8.45,76.05000000000001,0.038747535606415126
8.45,76.15,0.03997396179577758
8.45,76.25,0.03782287501717554
8.45,76.35,0.03635434692744151
8.45,76.45,0.03264094718032331
8.45,76.55000000000001,
8.45,76.65,
8.45,76.75,
8.45,76.85,0.043854031223531126
8.45,76.95,0.04385490962022391
8.45,77.05000000000001,0.044409866079701335
8.45,77.15,0.0391125791882151
8.45,77.25,0.03962500799788645
8.45,77.35,0.03946208295025566
8.45,77.45,0.03298703799844769
8.45,77.55000000000001,0.03651112889207782
8.45,77.65,0.036368199365841014
8.45,77.75,0.036660566678724554
8.45,77.85,0.037344474430024234
8.45,77.95,0.03833214508361783
8.45,78.05000000000001,0.03798628213550788
8.45,78.15,0.03808350946032947
8.45,78.25,0.040575440267858996
8.45,78.35000000000001,0.037449036168561274
8.45,78.45,0.034807591409556936
8.45,78.55000000000001,0.038879681083705375
8.45,78.65,0.039237771171793646
8.45,78.75,0.041088996386035206
8.45,78.85000000000001,0.04286469156869158
8.45,78.95,0.04085184689515295
8.45,79.05000000000001,0.03705419519496043
8.45,79.15,0.036579616772690414
8.45,79.25,0.03710036970534522
8.45,79.35000000000001,0.03661560655944589
8.45,79.45,0.03593749955764678
8.45,79.55000000000001,0.03626794941333196
8.45,79.65,0.03543203441298012
8.45,79.75,0.03847418419120829
8.45,79.85000000000001,0.03847418454823137
8.45,79.95,0.03650065065715348
8.45,80.05000000000001,0.03571108558883861
8.45,80.15,0.03866417717190928
8.45,80.25,0.03627846424650424
8.45,80.35000000000001,0.03711647246627532
8.45,80.45,0.036720402723163355
8.45,80.55000000000001,0.03693833081543353
8.45,80.65,0.035581800816293016
8.45,80.75,0.03813107481298597
8.45,80.85000000000001,0.037498505037546544
8.45,80.95,0.03556009274121769
8.45,81.05000000000001,0.035935196362669536
8.45,81.15,0.03983605808546737
8.45,81.25,0.038111618623123455
8.45,81.35000000000001,0.03945137163236852
8.45,81.45,0.03595377854848713
8.45,81.55000000000001,0.03541796809933698
8.45,81.65,0.03612308498981054
