,statename,distname,min_tropospheric_NO2_column_number_density,mean_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
0,Uttarakhand,Nainital,5.939812e+18,1.3434385e+19,3.131501e+19
1,Uttarakhand,Dehradun,8.070912e+18,2.0216553e+19,4.39786e+19
2,Uttarakhand,Almora,1.581278e+17,1.0629785e+19,2.2382202e+19
3,Uttarakhand,Champawat,3.4149806e+18,1.2045468e+19,2.564705e+19
4,Uttarakhand,Uttarkashi,-5.7196644e+18,9.251393e+18,3.307705e+19
5,Uttarakhand,Garhwal,4.3400284e+16,1.6567064e+19,3.701815e+19
6,Uttarakhand,Hardwar,1.4977369e+19,3.3947661e+19,6.600028e+19
7,Uttarakhand,Rudraprayag,5.8921096e+17,1.0094603e+19,2.3584373e+19
8,Uttarakhand,Tehri Garhwal,-1.5151805e+17,1.4224316e+19,3.5346592e+19
9,Uttarakhand,Bageshwar,-4.7725027e+17,8.0706666e+18,2.3486798e+19
10,Uttarakhand,Pithoragarh,-9.931746e+17,6.5289143e+18,1.9905668e+19
11,Uttarakhand,Chamoli,1.7262915e+18,7.124755e+18,2.8824715e+19
12,Uttarakhand,Udham Singh Nagar,6.8530586e+18,1.459303e+19,3.0212165e+19
13,Himachal Pradesh,Chamba,1.709998e+17,7.400471e+18,2.4382095e+19
14,Himachal Pradesh,Shimla,1.5896912e+18,1.5861083e+19,5.6885987e+19
15,Himachal Pradesh,Bilaspur,7.4794427e+18,3.4187924e+19,2.5466213e+20
16,Himachal Pradesh,Kangra,2.3085846e+18,1.2658034e+19,2.8929648e+19
17,Himachal Pradesh,Lahul & Spiti,1.1864482e+18,4.8119626e+18,1.2702637e+19
18,Himachal Pradesh,Una,9.293343e+18,1.8725415e+19,3.3958491e+19
19,Himachal Pradesh,Solan,1.4547499e+19,3.9582e+19,9.558338e+19
20,Himachal Pradesh,Sirmaur,8.140732e+18,2.5339655e+19,8.01124e+19
21,Himachal Pradesh,Kinnaur,1.5566057e+18,6.3386076e+18,1.3993881e+19
22,Himachal Pradesh,Mandi,3.4056455e+18,1.7884718e+19,5.0582527e+19
23,Himachal Pradesh,Kullu,3.538782e+17,1.009544e+19,3.2116137e+19
24,Himachal Pradesh,Hamirpur,7.6038865e+18,2.1228108e+19,5.2278163e+19
25,Jammu & Kashmir,DATA NOT AVAILABLE,-2.2772201e+18,3.7659645e+18,5.620934e+19
26,Jammu & Kashmir,Anantnag,2.0503074e+18,7.0952343e+18,1.920018e+19
27,Jammu & Kashmir,Baramula,1.548451e+18,8.2442564e+18,2.1371742e+19
28,Jammu & Kashmir,Kulgam,3.3583615e+18,9.552269e+18,2.079153e+19
29,Jammu & Kashmir,Shupiyan,4.117937e+18,1.1047678e+19,1.7701178e+19
30,Jammu & Kashmir,Reasi,2.6085633e+18,1.1247101e+19,3.0808894e+19
31,Jammu & Kashmir,Rajouri,3.3282456e+18,1.3005473e+19,3.357372e+19
32,Jammu & Kashmir,Jammu,6.4302145e+18,1.8570065e+19,4.2748643e+19
33,Ladakh,Leh(Ladakh),-1.3001835e+18,3.3888031e+18,1.1904806e+19
34,Jammu & Kashmir,Srinagar,7.228534e+18,1.127261e+19,2.5033692e+19
35,Jammu & Kashmir,Punch,2.2175192e+18,9.666457e+18,2.5379853e+19
36,Jammu & Kashmir,Kupwara,1.62178e+18,6.2839173e+18,1.7092112e+19
37,Jammu & Kashmir,Samba,1.8217553e+18,2.0057623e+19,3.6626538e+19
38,Jammu & Kashmir,Bandipore,5.903725e+17,5.5473886e+18,1.4339241e+19
39,Jammu & Kashmir,Kathua,2.213619e+18,1.1610401e+19,3.8253584e+19
40,Ladakh,Kargil,5.661909e+17,3.4638786e+18,1.0288381e+19
41,Jammu & Kashmir,Kishtwar,8.414819e+17,5.0887795e+18,1.7799423e+19
42,Gujarat,Sabar Kantha,9.852819e+18,2.1109174e+19,5.8423887e+19
43,Gujarat,Banas Kantha,5.639134e+18,1.869568e+19,4.8830055e+19
44,Gujarat,Surendranagar,1.3974574e+19,2.548836e+19,7.021633e+19
45,Gujarat,Anand,1.8482806e+19,3.4245081e+19,8.341522e+19
46,Gujarat,Narmada,1.0794993e+19,1.7927039e+19,3.590651e+19
47,Gujarat,Amreli,1.0826782e+19,2.050873e+19,3.773178e+19
48,Gujarat,Dohad,1.0499981e+19,1.7110851e+19,4.8145103e+19
49,Jammu & Kashmir,Doda,1.1068663e+18,8.0269676e+18,2.14362e+19
50,Jammu & Kashmir,Pulwama,4.9508073e+18,9.985648e+18,1.7901595e+19
51,Gujarat,Vadodara,1.4197734e+19,2.764298e+19,8.230569e+19
52,Gujarat,Aravali,1.1339063e+19,1.7058772e+19,3.2480315e+19
53,Jammu & Kashmir,Ramban,2.9275773e+18,9.0016005e+18,2.3102272e+19
54,Jammu & Kashmir,Ganderbal,1.2008672e+18,5.952603e+18,1.8439105e+19
55,Jammu & Kashmir,Udhampur,2.1393638e+18,1.1574523e+19,3.2296687e+19
56,Jammu & Kashmir,Badgam,2.0400134e+18,1.0286548e+19,2.3675535e+19
57,Daman & Diu,Daman,2.2050558e+19,2.5885796e+19,3.0904162e+19
58,Daman & Diu,Diu,,,
59,Gujarat,Bhavnagar,1.4911715e+19,2.1819978e+19,2.914294e+19
60,Gujarat,Ahmadabad,1.6482561e+19,2.9670345e+19,7.579509e+19
61,Gujarat,Chhota Udaipur,1.0090219e+19,1.893602e+19,4.622717e+19
62,Gujarat,Batod,1.7085124e+19,2.3997752e+19,3.6004278e+19
63,Gujarat,Rajkot,1.277907e+19,2.3628602e+19,5.0218795e+19
