,statename,distname,min_tropospheric_NO2_column_number_density,mean_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
0,Uttarakhand,Nainital,1.8594032e+18,1.4296821e+19,2.822759e+19
1,Uttarakhand,Dehradun,5.748999e+18,1.7475984e+19,3.7330236e+19
2,Uttarakhand,Almora,2.523924e+18,9.60696e+18,2.0613079e+19
3,Uttarakhand,Champawat,1.3551383e+18,1.0412347e+19,1.9101855e+19
4,Uttarakhand,Uttarkashi,6.2566507e+16,6.821278e+18,2.364703e+19
5,Uttarakhand,Garhwal,3.1639052e+18,1.4618204e+19,3.272185e+19
6,Uttarakhand,Hardwar,9.214608e+18,3.0003502e+19,6.793319e+19
7,Uttarakhand,Rudraprayag,-1.5866825e+16,7.5122554e+18,1.748276e+19
8,Uttarakhand,Tehri Garhwal,6.990216e+17,1.1714717e+19,2.5944224e+19
9,Uttarakhand,Bageshwar,-2.6036988e+18,6.4625654e+18,1.9781435e+19
10,Uttarakhand,Pithoragarh,-2.095488e+18,4.8746963e+18,1.5693072e+19
11,Uttarakhand,Chamoli,-1.550978e+18,5.0826563e+18,1.7301641e+19
12,Uttarakhand,Udham Singh Nagar,8.1055816e+18,2.1500525e+19,3.7626783e+19
13,Himachal Pradesh,Chamba,-4.126112e+17,7.3212417e+18,2.8098697e+19
14,Himachal Pradesh,Shimla,3.717613e+17,1.2782175e+19,1.208684e+20
15,Himachal Pradesh,Bilaspur,6.233311e+18,2.8646933e+19,1.9041745e+20
16,Himachal Pradesh,Kangra,1.8066779e+18,1.2967295e+19,3.1669585e+19
17,Himachal Pradesh,Lahul & Spiti,-4.662427e+17,3.6192127e+18,8.400486e+18
18,Himachal Pradesh,Una,7.514573e+18,2.3066784e+19,4.5260736e+19
19,Himachal Pradesh,Solan,8.229975e+18,3.280626e+19,1.1845497e+20
20,Himachal Pradesh,Sirmaur,8.570283e+18,2.0800187e+19,6.130718e+19
21,Himachal Pradesh,Kinnaur,1.0295868e+18,4.4450603e+18,1.7307518e+19
22,Himachal Pradesh,Mandi,3.9736213e+18,1.6106921e+19,9.889253e+19
23,Himachal Pradesh,Kullu,1.00397534e+18,6.814456e+18,2.500181e+19
24,Himachal Pradesh,Hamirpur,7.1171454e+18,1.474702e+19,3.2622466e+19
25,Jammu & Kashmir,DATA NOT AVAILABLE,-1.0763358e+19,4.1894568e+18,6.7676247e+19
26,Jammu & Kashmir,Anantnag,-1.8284924e+18,8.1138235e+18,3.11032e+19
27,Jammu & Kashmir,Baramula,-1.5312228e+19,8.807873e+18,2.3989884e+19
28,Jammu & Kashmir,Kulgam,6.2600406e+17,9.610113e+18,1.9372014e+19
29,Jammu & Kashmir,Shupiyan,1.5975508e+18,1.1338197e+19,2.0691758e+19
30,Jammu & Kashmir,Reasi,-7.831012e+17,1.1796112e+19,3.0193898e+19
31,Jammu & Kashmir,Rajouri,2.2021371e+18,1.4735904e+19,3.264004e+19
32,Jammu & Kashmir,Jammu,8.2423207e+18,1.9570203e+19,3.5566e+19
33,Ladakh,Leh(Ladakh),-4.471149e+18,3.5354766e+18,1.093205e+19
34,Jammu & Kashmir,Srinagar,5.782345e+18,1.405617e+19,4.0510494e+19
35,Jammu & Kashmir,Punch,-9.831723e+18,9.909917e+18,2.8366487e+19
36,Jammu & Kashmir,Kupwara,-1.001665e+19,7.4507256e+18,2.2085776e+19
37,Jammu & Kashmir,Samba,7.64923e+18,2.1374783e+19,3.980427e+19
38,Jammu & Kashmir,Bandipore,-6.214369e+18,6.240027e+18,2.2611927e+19
39,Jammu & Kashmir,Kathua,2.3911176e+18,1.272087e+19,3.3180833e+19
40,Ladakh,Kargil,-4.262836e+18,3.5251101e+18,9.571997e+18
41,Jammu & Kashmir,Kishtwar,-2.752253e+18,5.2785217e+18,2.0141804e+19
42,Gujarat,Sabar Kantha,2.8534897e+18,1.4814463e+19,3.3097295e+19
43,Gujarat,Banas Kantha,2.5266038e+18,1.4268889e+19,4.557322e+19
44,Gujarat,Surendranagar,6.141603e+18,2.0431167e+19,4.3005163e+19
45,Gujarat,Anand,4.2097777e+18,2.4380951e+19,5.4348794e+19
46,Gujarat,Narmada,8.0545873e+18,1.8267321e+19,4.492682e+19
47,Gujarat,Amreli,7.924832e+17,1.5741852e+19,1.1240471e+20
48,Gujarat,Dohad,-5.2504065e+17,1.3533481e+19,3.3867762e+19
49,Jammu & Kashmir,Doda,-2.4070863e+18,8.910785e+18,2.3270438e+19
50,Jammu & Kashmir,Pulwama,2.499942e+18,1.0906953e+19,2.2501035e+19
51,Gujarat,Vadodara,2.8257913e+18,2.3112396e+19,8.902553e+19
52,Gujarat,Aravali,1.9795936e+18,1.4490446e+19,3.6309645e+19
53,Jammu & Kashmir,Ramban,-1.852395e+18,1.0367782e+19,2.1682732e+19
54,Jammu & Kashmir,Ganderbal,-4.1976946e+18,6.58324e+18,3.09555e+19
55,Jammu & Kashmir,Udhampur,-1.3763265e+18,1.1683179e+19,2.8367233e+19
56,Jammu & Kashmir,Badgam,-1.3322612e+18,1.1677793e+19,3.825147e+19
57,Daman & Diu,Daman,6.290038e+18,2.363014e+19,3.967745e+19
58,Daman & Diu,Diu,,,
59,Gujarat,Bhavnagar,1.3649453e+17,1.8262095e+19,9.4712125e+19
60,Gujarat,Ahmadabad,-3.8474196e+18,2.5129785e+19,9.967725e+19
61,Gujarat,Chhota Udaipur,-1.3336566e+17,1.5599039e+19,4.3756886e+19
62,Gujarat,Batod,-9.007948e+18,1.6110346e+19,2.388666e+19
63,Gujarat,Rajkot,-1.2005706e+18,1.9204213e+19,5.5830073e+19
64,Gujarat,Kachchh,9.245318e+17,1.0598304e+19,6.828167e+19
65,Gujarat,The Dangs,7.2452764e+18,1.7418712e+19,3.9277067e+19
66,Gujarat,Mahesana,4.867533e+18,1.7572898e+19,4.3363366e+19
