,statename,distname,min_tropospheric_NO2_column_number_density,mean_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
0,Uttarakhand,Nainital,-1.0108368e+19,6.8418936e+18,4.0784963e+19
1,Uttarakhand,Dehradun,-1.8405227e+19,1.002609e+19,4.198553e+19
2,Uttarakhand,Almora,-1.2964144e+19,4.974352e+18,1.7516941e+19
3,Uttarakhand,Champawat,-8.489852e+18,3.912893e+18,1.2453181e+19
4,Uttarakhand,Uttarkashi,-1.9387482e+19,4.266288e+18,1.9933106e+19
5,Uttarakhand,Garhwal,-2.0099493e+19,7.3952185e+18,3.4334549e+19
6,Uttarakhand,Hardwar,-4.6935705e+18,2.0691923e+19,5.60624e+19
7,Uttarakhand,Rudraprayag,-1.1353604e+19,4.2243613e+18,1.7544294e+19
8,Uttarakhand,Tehri Garhwal,-2.0682295e+19,6.7866316e+18,3.612811e+19
9,Uttarakhand,Bageshwar,-9.506072e+18,3.2420483e+18,1.226808e+19
10,Uttarakhand,Pithoragarh,-7.844741e+18,3.4003898e+18,1.4319378e+19
11,Uttarakhand,Chamoli,-7.2262944e+18,3.387315e+18,1.6987834e+19
12,Uttarakhand,Udham Singh Nagar,-4.4323268e+18,1.1488529e+19,2.5432082e+19
13,Himachal Pradesh,Chamba,-2.5543524e+19,3.953562e+18,3.3356625e+19
14,Himachal Pradesh,Shimla,-1.7329504e+19,8.2209203e+18,4.188019e+19
15,Himachal Pradesh,Bilaspur,-3.2802244e+18,3.894514e+19,5.11793e+20
16,Himachal Pradesh,Kangra,-2.977391e+19,6.2233117e+18,3.4512456e+19
17,Himachal Pradesh,Lahul & Spiti,-1.0044899e+19,2.0127024e+18,1.1907226e+19
18,Himachal Pradesh,Una,-1.3801302e+19,1.106318e+19,2.7140358e+19
19,Himachal Pradesh,Solan,-2.4439498e+19,1.9092931e+19,6.320093e+19
20,Himachal Pradesh,Sirmaur,-2.7376846e+19,1.0266691e+19,3.3813534e+19
21,Himachal Pradesh,Kinnaur,-9.730725e+18,3.67992e+18,2.5991494e+19
22,Himachal Pradesh,Mandi,-2.4740942e+19,1.1742728e+19,5.799376e+19
23,Himachal Pradesh,Kullu,-2.4740942e+19,4.4482104e+18,2.6529001e+19
24,Himachal Pradesh,Hamirpur,-6.631149e+18,1.7846966e+19,1.1824768e+20
25,Jammu & Kashmir,DATA NOT AVAILABLE,-2.6471272e+19,1.780135e+18,2.9012842e+19
26,Jammu & Kashmir,Anantnag,-1.6525719e+19,7.2426e+18,3.3459342e+19
27,Jammu & Kashmir,Baramula,-1.7477923e+18,8.8341224e+18,2.8973026e+19
28,Jammu & Kashmir,Kulgam,1.699607e+18,9.371043e+18,2.7799729e+19
29,Jammu & Kashmir,Shupiyan,2.477221e+18,1.2022944e+19,2.4529042e+19
30,Jammu & Kashmir,Reasi,-6.276979e+18,4.7303975e+18,1.7674782e+19
31,Jammu & Kashmir,Rajouri,-8.120882e+18,4.898049e+18,1.7005631e+19
32,Jammu & Kashmir,Jammu,-4.864601e+18,1.1393366e+19,2.963583e+19
33,Ladakh,Leh(Ladakh),-1.0796471e+19,1.018743e+18,1.3548611e+19
34,Jammu & Kashmir,Srinagar,-2.652326e+18,1.6131335e+19,4.116973e+19
35,Jammu & Kashmir,Punch,-2.7720337e+18,6.613724e+18,1.7737634e+19
36,Jammu & Kashmir,Kupwara,-7.5379653e+18,6.84304e+18,2.702115e+19
37,Jammu & Kashmir,Samba,2.9380336e+18,1.0734013e+19,2.4177962e+19
38,Jammu & Kashmir,Bandipore,-1.1256737e+19,6.033395e+18,2.4796417e+19
39,Jammu & Kashmir,Kathua,-9.677409e+18,3.8694222e+18,3.5655964e+19
40,Ladakh,Kargil,-7.281338e+18,1.281779e+18,1.1998005e+19
41,Jammu & Kashmir,Kishtwar,-2.7617949e+19,2.2621498e+18,2.1896062e+19
42,Gujarat,Sabar Kantha,7.011252e+18,1.617825e+19,3.1373509e+19
43,Gujarat,Banas Kantha,6.2584796e+18,1.5767587e+19,4.3389434e+19
44,Gujarat,Surendranagar,9.1973087e+18,2.4040784e+19,7.121664e+19
45,Gujarat,Anand,1.6560553e+19,3.3587782e+19,6.372001e+19
46,Gujarat,Narmada,3.008921e+18,1.4603658e+19,2.8044915e+19
47,Gujarat,Amreli,6.9981617e+18,1.7661571e+19,8.9225835e+19
48,Gujarat,Dohad,4.7000307e+18,1.2452035e+19,2.1901863e+19
49,Jammu & Kashmir,Doda,-2.784678e+19,3.1404837e+18,1.8653188e+19
50,Jammu & Kashmir,Pulwama,-8.1638854e+18,1.007422e+19,1.9919595e+19
51,Gujarat,Vadodara,1.2756567e+19,2.466561e+19,6.6368703e+19
52,Gujarat,Aravali,7.976638e+18,1.521486e+19,2.6865727e+19
53,Jammu & Kashmir,Ramban,1.75226e+18,6.356757e+18,2.1338585e+19
54,Jammu & Kashmir,Ganderbal,-1.0151549e+19,5.926969e+18,2.3074122e+19
55,Jammu & Kashmir,Udhampur,-8.662515e+18,3.7466782e+18,1.2584181e+19
56,Jammu & Kashmir,Badgam,1.4394953e+18,1.1828163e+19,2.764169e+19
57,Daman & Diu,Daman,1.3680915e+19,2.5468784e+19,3.882953e+19
58,Daman & Diu,Diu,,,
59,Gujarat,Bhavnagar,8.498604e+18,2.016277e+19,5.118648e+19
60,Gujarat,Ahmadabad,1.2825474e+19,3.3658586e+19,1.1092415e+20
61,Gujarat,Chhota Udaipur,5.305273e+18,1.5011825e+19,2.6709844e+19
62,Gujarat,Batod,1.1956113e+19,2.0979282e+19,3.1875405e+19
63,Gujarat,Rajkot,7.7344805e+18,2.3022232e+19,5.6852285e+19
64,Gujarat,Kachchh,4.2718215e+18,1.6353635e+19,1.7510838e+20
65,Gujarat,The Dangs,6.114024e+18,1.2040451e+19,1.9814957e+19
66,Gujarat,Mahesana,9.343888e+18,2.1861948e+19,6.7840817e+19
67,Gujarat,Patan,8.4031996e+18,1.871619e+19,4.199864e+19
68,Gujarat,Bharuch,1.208585e+19,2.7196867e+19,6.6577065e+19
69,Gujarat,Gir Somnath,6.864058e+18,1.8705015e+19,6.077526e+19
70,Gujarat,Junagadh,7.922694e+18,1.672233e+19,3.317271e+19
71,Gujarat,Devbhumi Dwarka,1.0118725e+19,3.4477951e+19,1.1683719e+20
72,Gujarat,Navsari,1.1537619e+19,2.4878518e+19,1.1556382e+20
73,Gujarat,Surat,6.854403e+18,3.629962e+19,1.77838e+20
74,Gujarat,Jamnagar,6.5036283e+18,2.2762127e+19,1.1341861e+20
75,Gujarat,Tapi,6.628259e+18,2.086702e+19,9.359752e+19
76,Gujarat,Kheda,1.1045918e+19,2.6927999e+19,6.8256094e+19
77,Madhya Pradesh,Betul,4.404225e+18,1.3615437e+19,1.0845407e+20
78,Madhya Pradesh,Hoshangabad,2.816141e+18,1.2462776e+19,3.6450897e+19
79,Madhya Pradesh,Sehore,3.7590678e+18,1.0019106e+19,2.1191442e+19
80,Madhya Pradesh,Jabalpur,-4.3729378e+17,1.1880297e+19,3.218175e+19
81,Madhya Pradesh,Narsimhapur,5.3006147e+18,1.1724042e+19,2.3986046e+19
82,Madhya Pradesh,Panna,-1.4485667e+19,1.2134617e+19,4.41466e+19
83,Madhya Pradesh,Ujjain,2.1227899e+18,9.566333e+18,2.4581388e+19
84,Madhya Pradesh,Rewa,9.197549e+18,4.087814e+19,2.8235823e+20
85,Madhya Pradesh,Dindori,-1.004193e+19,1.2036285e+19,5.955391e+19
86,Madhya Pradesh,Balaghat,1.8980542e+18,1.386748e+19,5.390634e+19
87,Madhya Pradesh,Barwani,5.2000677e+18,1.4814311e+19,3.9771126e+19
88,Gujarat,Porbandar,9.324448e+18,1.9289944e+19,7.064999e+19
89,Gujarat,Valsad,8.6084196e+18,2.050035e+19,5.534161e+19
90,Gujarat,Gandhinagar,1.068751e+19,2.5985825e+19,7.398498e+19
91,Gujarat,Mahisagar,6.911651e+18,1.52339e+19,6.09867e+19
92,Gujarat,Morbi,5.52761e+18,2.8606451e+19,9.089866e+19
