,statename,distname,min_tropospheric_NO2_column_number_density,mean_tropospheric_NO2_column_number_density,max_tropospheric_NO2_column_number_density
0,Uttarakhand,Nainital,7.559383e+17,1.3414846e+19,3.3387737e+19
1,Uttarakhand,Dehradun,4.9138285e+18,1.4586614e+19,3.3047953e+19
2,Uttarakhand,Almora,-2.450001e+18,9.498804e+18,3.0651792e+19
3,Uttarakhand,Champawat,-1.959002e+18,9.461336e+18,2.0810659e+19
4,Uttarakhand,Uttarkashi,9.9239025e+16,6.3829096e+18,2.1759087e+19
5,Uttarakhand,Garhwal,-7.538594e+16,1.3508141e+19,3.9046182e+19
6,Uttarakhand,Hardwar,1.1175014e+19,2.798845e+19,6.3165945e+19
7,Uttarakhand,Rudraprayag,2.2777526e+17,6.637219e+18,1.8633927e+19
8,Uttarakhand,Tehri Garhwal,7.5888904e+17,1.0613899e+19,2.7613403e+19
9,Uttarakhand,Bageshwar,-1.0248634e+18,5.6668e+18,1.7091541e+19
10,Uttarakhand,Pithoragarh,-1.7151579e+18,4.6376653e+18,1.9590322e+19
11,Uttarakhand,Chamoli,-1.5212281e+17,4.357734e+18,1.7723472e+19
12,Uttarakhand,Udham Singh Nagar,7.35933e+16,1.7712307e+19,3.6452613e+19
13,Himachal Pradesh,Chamba,-1.9307344e+18,5.2140243e+18,1.6046912e+19
14,Himachal Pradesh,Shimla,9.899776e+17,9.757522e+18,5.0201467e+19
15,Himachal Pradesh,Bilaspur,1.4142571e+18,3.9326747e+19,2.3058733e+20
16,Himachal Pradesh,Kangra,-2.0323745e+18,9.326657e+18,2.687426e+19
17,Himachal Pradesh,Lahul & Spiti,-6.826502e+17,3.2838306e+18,7.9584526e+18
18,Himachal Pradesh,Una,4.936341e+18,1.5136582e+19,4.0215487e+19
19,Himachal Pradesh,Solan,7.8894544e+18,2.5069945e+19,5.6417657e+19
20,Himachal Pradesh,Sirmaur,4.792303e+18,1.5113261e+19,3.6536952e+19
21,Himachal Pradesh,Kinnaur,1.2417794e+18,4.5175686e+18,1.2647261e+19
22,Himachal Pradesh,Mandi,3.2195322e+18,1.3099003e+19,8.016481e+19
23,Himachal Pradesh,Kullu,-2.1546812e+17,5.7029057e+18,1.5550215e+19
24,Himachal Pradesh,Hamirpur,-7.738268e+17,1.6288623e+19,8.559727e+19
25,Jammu & Kashmir,DATA NOT AVAILABLE,-6.3136976e+18,2.8384327e+18,6.190603e+19
26,Jammu & Kashmir,Anantnag,-3.4693336e+18,5.6746757e+18,1.9207927e+19
27,Jammu & Kashmir,Baramula,-5.793989e+17,7.968795e+18,1.829512e+19
28,Jammu & Kashmir,Kulgam,1.4565246e+18,7.462107e+18,1.9237475e+19
29,Jammu & Kashmir,Shupiyan,2.925173e+18,9.2048387e+18,1.7207558e+19
30,Jammu & Kashmir,Reasi,-2.3019408e+18,7.635785e+18,2.0138965e+19
31,Jammu & Kashmir,Rajouri,1.6548669e+17,8.907204e+18,1.9691455e+19
32,Jammu & Kashmir,Jammu,4.1264064e+18,1.4186104e+19,3.5855468e+19
33,Ladakh,Leh(Ladakh),-1.11637e+19,2.6312267e+18,1.0941127e+19
34,Jammu & Kashmir,Srinagar,1.6646102e+18,1.130026e+19,3.6982663e+19
35,Jammu & Kashmir,Punch,9.162522e+17,7.5411094e+18,1.7041474e+19
